road	N603
name	Rajshahi Town By-Pass Road
length	21
from	Belpukur
to	Kasiadanga
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1495
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1495&RoadNo=N603
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1495&RoadNo=N603
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1495&RoadNo=N603
