roadNo	roadId	startChainage	endChainage	width	nrLanes
N6	1490	0	0.25	7.3	2
N6	1490	0.25	0.993	7.3	2
N6	1490	0.993	3.549	7.3	2
N6	1490	3.549	3.599	14.6	4
N6	1490	3.599	4.656	7.3	2
N6	1490	4.656	4.716	13.4	4
N6	1490	4.716	6.64	7.3	2
N6	1490	6.64	6.7	13.4	4
N6	1490	6.7	8.942	7.3	2
N6	1490	8.942	9.002	13.4	4
N6	1490	9.002	10.975	7.3	2
N6	1490	10.975	11.675	7.3	2
N6	1490	11.675	12.29	7.3	2
N6	1490	12.29	16.321	7.3	2
N6	1490	16.321	16.876	8.2	3
N6	1490	16.876	20.982	7.3	2
N6	1490	20.982	24.926	7.3	2
N6	1490	24.926	25.426	11	3
N6	1490	25.426	33.202	7.3	2
N6	1490	33.202	33.222	12.2	4
N6	1490	33.222	37.091	7.3	2
N6	1490	37.091	37.551	8.2	3
N6	1490	37.551	43.547	7.3	2
N6	1490	43.547	43.607	12.2	4
N6	1490	43.607	46.369	7.3	2
N6	1490	46.369	46.429	12.2	4
N6	1490	46.429	51.289	7.3	2
N6	1490	51.289	51.329	13.4	4
N6	1490	51.329	51.569	7.3	2
N6	1490	51.569	59.356	7.3	2
N6	1490	59.356	61.606	7.3	2
N6	1490	61.606	67.412	7.3	2
N6	1490	67.412	67.576	11	4
N6	1490	67.576	68.024	7.3	2
N6	1490	68.024	68.374	12.5	4
N6	1490	68.374	75.524	7.5	2
N6	1490	75.524	75.864	12.5	4
N6	1490	75.864	83.924	7.5	2
N6	1490	83.924	84.084	13	4
N6	1490	84.084	89.824	7.5	2
N6	1490	89.824	90.124	12.5	4
N6	1490	90.124	101.024	9.2	3
N6	1490	101.024	115.284	7.3	2
N6	1490	115.284	116.374	7.3	2
N6	1490	116.374	119.294	9.5	3
N6	1490	119.294	120.09	11.5	3.5
N6	1490	120.09	124.224	7.3	2
N6	1490	124.224	125.024	10	3
N6	1490	125.024	128.414	7.35	2
N6	1490	128.414	128.514	12	3
N6	1490	128.514	131.514	10.2	3
N6	1490	131.514	135.954	7.5	2
N6	1490	135.954	137.114	10.5	3
N6	1490	137.114	137.214	11.5	3.5
N6	1490	137.214	139.954	10.5	3
N6	1490	139.954	140.414	10.5	3
N6	1490	140.414	143.444	11	3
N6	1490	143.444	145.194	6	2
N6	1490	145.194	145.334	7.5	2
N6	1490	145.334	145.514	9.5	3
N6	1490	145.514	146.284	12.6	4
N6	1490	146.284	146.574	13.5	4
N6	1490	146.574	146.684	8.3	2
N6	1490	146.684	146.824	9.2	3
N6	1490	146.824	147.094	6.2	2
N6	1490	147.094	147.644	8.7	2
N6	1490	147.644	149.744	9.2	3
N6	1490	149.744	150.084	14.3	4
N6	1490	150.084	150.244	7.6	2
N6	1490	150.244	150.544	9	3
N6	1490	150.544	151.684	7.5	2
N6	1490	151.684	151.844	10.2	3
N6	1490	151.844	152.744	8.6	2
N6	1490	152.744	162.284	6.1	2
N6	1490	162.284	170.944	6.4	2
N6	1490	170.944	177.144	6.1	2
N6	1490	177.144	177.579	9.5	3
N6	1490	177.579	178.239	6.1	2
N6	1490	178.239	178.719	9.5	3
N6	1490	178.719	178.889	7.5	2
N6	1490	178.889	179.234	9.5	3
N6	1490	179.234	181.064	6.1	2
N6	1490	181.064	181.559	9.5	3
N6	1490	181.559	186.244	6.1	2
N6	1490	186.244	186.514	9.2	3
N6	1490	186.514	194.194	6.1	2
N6	1490	194.194	194.444	8	2
N6	1490	194.444	195.464	6.1	2
N6	1490	195.464	195.476	13	4
N6	1490	195.476	195.514	15.6	4
N6	1490	195.514	198.264	6.7	2
N6	1490	198.264	199.114	7.35	2
N6	1490	199.114	199.444	6.1	2
N6	1490	199.444	201.464	6.1	2
N6	1490	201.464	206.364	6.1	2
N6	1490	206.364	206.954	11	3
N6	1490	206.954	209.834	6.1	2
N6	1490	209.834	210.414	9.7	3
N6	1490	210.414	220.524	6.1	2
N6	1490	220.524	221.104	9.4	3
N6	1490	221.104	229.794	6.1	2
N6	1490	229.794	230.824	7.9	2
N6	1490	230.824	230.964	10.4	3
N6	1490	230.964	232.244	7.9	2
