road	N808
name	Faridpur Town By-Pass
length	5
from	Goalchamat
to	Munshibazar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1188
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1188&RoadNo=N808
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1188&RoadNo=N808
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1188&RoadNo=N808
