road	N406
name	Kaliakoir Town Old Section
length	3
from	IT park Gate
to	Kaliakoir (Int with N4)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1786
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1786&RoadNo=N406
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1786&RoadNo=N406
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1786&RoadNo=N406
