road	N506
name	Rangpur-Barobari-Kurigram Road
length	50
from	Rangpur
to	Kurigram
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1266
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1266&RoadNo=N506
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1266&RoadNo=N506
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1266&RoadNo=N506
