road	N502
name	Bogra (Jahangirabad)-Natore Road
length	63
from	Jahangirabad
to	Natore
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1339
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1339&RoadNo=N502
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1339&RoadNo=N502
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1339&RoadNo=N502
