road	N5
name	Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road
length	526
from	Mirpur Bridge
to	Banglabandha
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1529
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1529&RoadNo=N5
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1529&RoadNo=N5
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1529&RoadNo=N5
