road	N507
name	Hatikamrul-Banpara Road
length	51
from	Hatikamrul
to	Banpara
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1343
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1343&RoadNo=N507
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1343&RoadNo=N507
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1343&RoadNo=N507
