road	N303
name	Charkhai Bazar Link Road
length	1
from	Charkhai Bazar
to	Int With N3
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1779
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1779&RoadNo=N303
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1779&RoadNo=N303
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1779&RoadNo=N303
