road	N707
name	Jessore Town Old Section (Palbari-Daratana-Monihar-Murali)
length	6
from	Palbari
to	Murali
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1194
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1194&RoadNo=N707
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1194&RoadNo=N707
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1194&RoadNo=N707
